Время (с),A0 (В),A2 (В)
0.00101470947265625,2.510,2.333
0.00101470947265625,2.510,2.275
0.00101470947265625,2.549,2.294
0.00101470947265625,2.549,2.275
0.00101470947265625,2.529,2.314
0.00101470947265625,2.529,2.392
0.0020055770874023438,2.529,2.373
0.0020055770874023438,2.471,2.490
0.0020055770874023438,2.451,2.490
0.0020055770874023438,2.451,2.569
0.0020055770874023438,2.431,2.392
0.0020055770874023438,2.412,2.353
0.0020055770874023438,2.412,2.314
0.0020055770874023438,2.431,2.333
0.0020055770874023438,2.431,2.314
0.0020055770874023438,2.471,2.314
0.003005504608154297,2.490,2.314
0.003005504608154297,2.451,2.373
0.003005504608154297,2.490,2.412
0.003005504608154297,2.471,2.471
0.003005504608154297,2.510,2.510
0.003005504608154297,2.471,2.490
0.003005504608154297,2.471,2.490
0.003005504608154297,2.471,2.431
0.003005504608154297,2.431,2.373
0.003005504608154297,2.431,2.333
0.003005504608154297,2.451,2.294
0.003005504608154297,2.431,2.314
0.003005504608154297,2.431,2.314
0.004006385803222656,2.451,2.373
0.004006385803222656,2.392,2.275
0.004006385803222656,2.392,2.353
0.004006385803222656,2.392,2.294
0.004006385803222656,2.353,2.314
0.004006385803222656,2.373,2.235
0.004006385803222656,2.412,2.235
0.004006385803222656,2.412,2.176
0.005013942718505859,2.392,2.059
0.005013942718505859,2.431,2.157
0.005013942718505859,2.431,2.118
0.005013942718505859,2.412,2.137
0.005013942718505859,2.412,2.216
0.005013942718505859,2.392,2.235
0.005013942718505859,2.353,2.275
0.005013942718505859,2.392,2.373
0.005013942718505859,2.392,2.392
0.006098508834838867,2.412,2.412
0.006098508834838867,2.412,2.471
0.006098508834838867,2.412,2.373
0.006098508834838867,2.431,2.314
0.006098508834838867,2.412,2.176
0.006098508834838867,2.431,2.216
0.006098508834838867,2.412,2.216
0.006098508834838867,2.471,2.255
0.006098508834838867,2.510,2.255
0.006098508834838867,2.529,2.196
0.0070896148681640625,2.549,2.176
0.0070896148681640625,2.529,2.039
0.0070896148681640625,2.569,2.000
0.0070896148681640625,2.569,1.922
0.0070896148681640625,2.529,1.882
0.0070896148681640625,2.510,1.961
0.0070896148681640625,2.529,1.902
0.0070896148681640625,2.510,1.961
0.008095264434814453,2.549,2.078
0.008095264434814453,2.549,2.059
0.008095264434814453,2.569,2.137
0.008095264434814453,2.608,2.333
0.008095264434814453,2.608,2.275
0.008095264434814453,2.588,2.196
0.008095264434814453,2.588,2.157
0.009093523025512695,2.569,2.118
0.009093523025512695,2.588,2.039
0.009093523025512695,2.608,2.059
0.009093523025512695,2.608,2.118
0.009093523025512695,2.647,2.118
0.009093523025512695,2.667,2.176
0.009093523025512695,2.647,2.235
0.009093523025512695,2.627,2.333
0.009093523025512695,2.608,2.373
0.010091781616210938,2.569,2.412
0.010091781616210938,2.588,2.392
0.010091781616210938,2.627,2.392
0.010091781616210938,2.667,2.294
0.010091781616210938,2.765,2.333
0.010091781616210938,2.922,2.314
