Время (с),A0 (В),A2 (В)
0.0,3.529,2.020
0.0010540485382080078,3.451,1.882
0.0010540485382080078,3.431,2.000
0.0010540485382080078,3.373,1.961
0.0010540485382080078,3.314,1.863
0.0010540485382080078,3.235,1.863
0.0010540485382080078,3.216,1.784
0.0010540485382080078,3.157,1.824
0.0010540485382080078,3.118,2.000
0.0010540485382080078,3.059,2.098
0.0010540485382080078,3.020,2.000
0.0010540485382080078,2.941,1.941
0.0020537376403808594,2.882,1.902
0.0020537376403808594,2.804,1.725
0.0020537376403808594,2.725,1.608
0.0020537376403808594,2.627,1.686
0.0020537376403808594,2.549,1.706
0.0020537376403808594,2.471,1.647
0.0020537376403808594,2.392,1.667
0.0020537376403808594,2.314,1.706
0.0020537376403808594,2.275,1.627
0.003055095672607422,2.275,1.647
0.003055095672607422,2.196,1.843
0.003055095672607422,2.255,1.882
0.003055095672607422,2.157,1.902
0.003055095672607422,2.137,1.843
0.003055095672607422,2.098,1.941
0.003055095672607422,2.020,1.922
0.003055095672607422,1.980,1.882
0.003055095672607422,1.882,1.941
0.003055095672607422,1.824,1.980
0.003055095672607422,1.784,1.922
0.003055095672607422,1.725,1.961
0.003055095672607422,1.686,2.059
0.004053354263305664,1.667,2.157
0.004053354263305664,1.667,2.314
0.004053354263305664,1.667,2.431
0.004053354263305664,1.647,2.275
0.004053354263305664,1.667,2.118
0.004053354263305664,1.627,2.176
0.004053354263305664,1.667,2.098
0.004053354263305664,1.667,2.039
0.004053354263305664,1.725,2.137
0.004053354263305664,1.725,2.098
0.004053354263305664,1.784,2.059
0.004053354263305664,1.843,1.980
0.00505375862121582,1.843,1.882
0.00505375862121582,1.922,1.843
0.00505375862121582,1.922,1.922
0.00505375862121582,1.922,1.941
0.00505375862121582,1.961,1.922
0.00505375862121582,1.961,1.902
0.00505375862121582,1.961,1.824
0.00505375862121582,2.000,1.824
0.00505375862121582,2.020,1.784
0.00505375862121582,2.059,1.804
0.00505375862121582,2.059,1.804
0.00505375862121582,2.059,1.627
0.00612330436706543,2.059,1.569
0.00612330436706543,2.078,1.490
0.00612330436706543,2.098,1.412
0.00612330436706543,2.118,1.431
0.00612330436706543,2.157,1.549
0.00612330436706543,2.176,1.706
0.00612330436706543,2.235,1.686
0.00612330436706543,2.235,1.765
0.00612330436706543,2.255,1.882
0.00612330436706543,2.314,1.902
0.00612330436706543,2.353,1.980
0.00612330436706543,2.373,2.059
0.00712275505065918,2.412,1.980
0.00712275505065918,2.431,1.824
0.00712275505065918,2.451,1.902
0.00712275505065918,2.451,1.843
0.00712275505065918,2.471,1.686
0.00712275505065918,2.490,1.863
0.00712275505065918,2.471,1.922
0.00712275505065918,2.490,1.765
0.00712275505065918,2.510,1.745
0.00712275505065918,2.529,1.667
0.00712275505065918,2.529,1.588
0.00712275505065918,2.608,1.412
0.008122444152832031,2.627,1.451
0.008122444152832031,2.627,1.353
0.008122444152832031,2.686,1.275
0.008122444152832031,2.686,1.020
0.008122444152832031,2.706,1.059
0.008122444152832031,2.667,0.980
0.008122444152832031,2.706,1.196
0.008122444152832031,2.686,1.412
0.008122444152832031,2.647,1.431
0.008122444152832031,2.627,1.471
0.008122444152832031,2.588,1.706
0.008122444152832031,2.549,1.549
0.009123563766479492,2.510,1.490
0.009123563766479492,2.549,1.451
0.009123563766479492,2.510,1.608
0.009123563766479492,2.529,1.373
0.009123563766479492,2.549,1.412
0.009123563766479492,2.569,1.353
0.009123563766479492,2.588,1.529
0.009123563766479492,2.608,1.490
0.009123563766479492,2.627,1.863
0.009123563766479492,2.647,1.941
0.010123491287231445,2.627,2.098
0.010123491287231445,2.608,2.118
0.010123491287231445,2.608,2.196
0.010123491287231445,2.588,2.353
