time,amplitude
3622.14086914,2.56862736
3622.14086914,0.72549021
3622.14086914,0.15686275
3622.14086914,0.11764706
3622.14892578,1.35294116
3622.14892578,2.90196085
3622.16137695,1.98039210
3622.16137695,0.43137255
3622.16137695,0.07843138
3622.16137695,0.43137255
3622.17358398,1.76470590
3622.17358398,3.15686274
3622.17358398,3.21568632
3622.17358398,1.29411769
3622.18603516,0.23529412
3622.18603516,0.03921569
3622.18603516,0.84313726
3622.18603516,2.45098042
3622.19409180,3.39215684
3622.19409180,2.62745094
3622.19409180,0.76470590
3622.20654297,0.13725491
3622.20654297,0.07843138
3622.20654297,1.37254906
3622.20654297,2.96078420
3622.21875000,3.43137264
3622.21875000,2.01960778
3622.21875000,0.39215687
3622.21875000,0.03921569
3622.23071289,0.31372550
3622.23071289,1.76470590
3622.23071289,3.17647052
3622.23071289,3.23529410
3622.23925781,1.27450979
3622.23925781,0.21568628
3622.23925781,0.00000000
3622.25122070,0.74509805
3622.25122070,2.43137264
3622.25122070,3.39215684
3622.25122070,2.64705873
3622.26391602,0.74509805
3622.26391602,0.11764706
3622.26391602,0.03921569
3622.26391602,1.35294116
3622.27612305,2.96078420
3622.27612305,3.45098042
3622.27612305,2.05882359
3622.27612305,0.39215687
3622.28393555,0.01960784
3622.28393555,0.33333334
3622.28393555,1.74509799
3622.29638672,3.19607854
3622.29638672,3.29411769
3622.29638672,1.31372547
3622.29638672,0.19607843
3622.30883789,0.00000000
3622.30883789,0.68627453
3622.30883789,2.43137264
3622.30883789,3.41176462
3622.31713867,2.68627453
3622.31713867,0.72549021
3622.32910156,0.01960784
3622.32910156,1.29411769
3622.32910156,2.96078420
3622.32910156,3.47058821
3622.34155273,2.09803915
3622.34155273,0.39215687
3622.34155273,0.00000000
3622.34155273,0.31372550
3622.35400391,1.72549021
3622.35400391,3.19607854
3622.35400391,3.33333325
3622.35400391,1.37254906
3622.36206055,0.19607843
3622.36206055,0.00000000
3622.36206055,0.70588237
3622.37426758,2.41176462
3622.37426758,3.43137264
3622.37426758,2.74509811
3622.37426758,0.78431374
3622.38647461,0.09803922
3622.38647461,0.01960784
3622.38647461,1.27450979
3622.38647461,2.98039222
3622.39892578,3.50980401
3622.39892578,2.15686274
3622.39892578,0.41176471
3622.39892578,0.00000000
3622.40698242,0.31372550
3622.40698242,1.72549021
3622.40698242,3.21568632
3622.41918945,3.35294127
3622.41918945,1.41176474
3622.41918945,0.21568628
3622.41918945,0.00000000
3622.43164063,0.70588237
3622.43164063,2.41176462
3622.43164063,3.45098042
3622.43164063,2.80392146
3622.43994141,0.82352942
3622.43994141,0.09803922
3622.45214844,1.27450979
3622.45214844,2.98039222
3622.45214844,3.52941179
3622.45214844,2.19607854
3622.46435547,0.43137255
3622.46435547,0.00000000
3622.46435547,0.25490198
3622.46435547,1.70588231
3622.47680664,3.21568632
3622.47680664,3.37254906
3622.47680664,1.43137252
3622.47680664,0.21568628
3622.48486328,0.00000000
3622.48486328,0.70588237
3622.48486328,2.39215684
3622.49707031,3.45098042
3622.49707031,2.82352948
3622.49707031,0.86274511
3622.49707031,0.11764706
3622.50952148,0.01960784
3622.50952148,1.31372547
3622.50952148,2.98039222
3622.50952148,3.52941179
3622.52172852,2.23529410
3622.52172852,0.47058824
3622.52172852,0.01960784
3622.52172852,0.27450982
3622.53002930,1.70588231
3622.53002930,3.21568632
3622.53002930,3.39215684
3622.54223633,1.47058821
3622.54223633,0.23529412
3622.54223633,0.00000000
3622.54223633,0.64705884
3622.55468750,2.37254906
3622.55468750,3.45098042
3622.55468750,2.82352948
3622.55468750,0.86274511
3622.56689453,0.13725491
3622.56689453,0.01960784
3622.56689453,1.27450979
3622.56689453,2.96078420
3622.57495117,3.52941179
3622.57495117,2.25490189
3622.57495117,0.47058824
3622.58740234,0.03921569
3622.58740234,0.31372550
3622.58740234,1.72549021
3622.58740234,3.19607854
3622.59936523,3.41176462
3622.59936523,1.49019611
3622.59936523,0.25490198
3622.59936523,0.00000000
3622.60766602,0.60784316
3622.60766602,2.35294127
3622.62011719,2.84313726
3622.62011719,0.84313726
3622.62011719,0.13725491
3622.62011719,0.03921569
3622.63208008,1.21568632
3622.63208008,2.94117641
3622.63208008,3.50980401
3622.63208008,2.27450991
3622.64477539,0.49019608
3622.64477539,0.05882353
3622.64477539,0.31372550
3622.64477539,1.70588231
3622.65283203,3.17647052
3622.65283203,3.39215684
3622.65283203,1.54901958
3622.66528320,0.27450982
3622.66528320,0.01960784
3622.66528320,0.68627453
3622.66528320,2.33333325
3622.67749023,3.43137264
3622.67749023,2.88235283
3622.67749023,0.92156863
3622.67749023,0.17647059
3622.68994141,0.03921569
3622.68994141,1.21568632
3622.68994141,2.92156863
3622.68994141,3.49019599
3622.69799805,2.29411769
3622.69799805,0.52941179
3622.69799805,0.07843138
3622.70996094,0.27450982
3622.70996094,1.66666663
3622.70996094,3.13725495
3622.70996094,3.37254906
3622.72265625,1.56862748
3622.72265625,0.29411766
3622.72265625,0.03921569
3622.72265625,0.68627453
3622.73486328,2.29411769
3622.73486328,3.37254906
3622.73486328,2.86274505
3622.73486328,0.98039216
3622.74316406,0.19607843
3622.74316406,0.05882353
3622.74316406,1.23529410
3622.75512695,2.88235283
3622.75512695,3.45098042
3622.75512695,2.29411769
3622.75512695,0.54901963
3622.76733398,0.09803922
3622.76733398,0.23529412
3622.76733398,1.58823526
3622.76733398,3.09803915
3622.77563477,3.35294127
3622.77563477,1.56862748
3622.78784180,0.05882353
3622.78784180,0.60784316
3622.78784180,2.23529410
3622.78784180,3.33333325
3622.80029297,2.86274505
3622.80029297,0.98039216
3622.80029297,0.21568628
3622.80029297,0.07843138
3622.81250000,1.21568632
3622.81250000,2.82352948
3622.81250000,3.41176462
3622.81250000,2.31372547
3622.82055664,0.56862748
3622.82055664,0.11764706
3622.82055664,0.31372550
3622.83300781,1.64705884
3622.83300781,3.05882359
3622.83300781,3.33333325
3622.83300781,1.60784316
3622.84521484,0.35294119
3622.84521484,0.07843138
3622.84521484,0.60784316
3622.84521484,2.19607854
3622.85766602,3.29411769
3622.85766602,2.84313726
3622.85766602,0.98039216
3622.85766602,0.23529412
3622.86572266,0.09803922
3622.86572266,1.11764705
3622.86572266,2.76470590
3622.87817383,3.35294127
3622.87817383,2.29411769
3622.87817383,0.58823532
3622.87817383,0.13725491
3622.89038086,0.29411766
3622.89038086,1.60784316
3622.89038086,3.01960778
3622.89038086,3.29411769
3622.89843750,1.62745094
3622.89843750,0.37254903
3622.91088867,0.62745100
3622.91088867,2.15686274
3622.91088867,3.25490189
3622.91088867,2.84313726
3622.92309570,1.01960790
3622.92309570,0.27450982
3622.92309570,0.11764706
3622.92309570,1.07843137
3622.93554688,2.72549009
3622.93554688,3.31372547
3622.93554688,2.29411769
3622.93554688,0.60784316
3622.94360352,0.15686275
3622.94360352,0.29411766
3622.94360352,1.56862748
