time,amplitude
4690.76562500,1.72549021
4690.76562500,0.31372550
4690.76562500,0.03921569
4690.76562500,0.50980395
4690.77734375,2.03921580
4690.77734375,3.25490189
4690.77734375,2.98039222
4690.77734375,1.05882359
4690.79003906,0.17647059
4690.79003906,0.01960784
4690.79003906,1.00000000
4690.79003906,2.64705873
4690.79785156,3.37254906
4690.79785156,2.41176462
4690.79785156,0.56862748
4690.81054688,0.07843138
4690.81054688,0.19607843
4690.81054688,1.56862748
4690.81054688,3.00000000
4690.82275391,3.37254906
4690.82275391,1.76470590
4690.82275391,0.33333334
4690.82275391,0.03921569
4690.83105469,0.54901963
4690.83105469,2.01960778
4690.84375000,3.00000000
4690.84375000,1.05882359
4690.84375000,0.17647059
4690.84375000,0.03921569
4690.85546875,0.96078432
4690.85546875,2.62745094
4690.85546875,3.37254906
4690.85546875,2.41176462
4690.86767578,0.56862748
4690.86767578,0.07843138
4690.86767578,0.15686275
4690.86767578,1.52941179
4690.87597656,3.00000000
4690.87597656,3.35294127
4690.87597656,1.76470590
4690.88818359,0.33333334
4690.88818359,0.03921569
4690.88818359,0.56862748
4690.88818359,2.01960778
4690.90087891,3.25490189
4690.90087891,3.00000000
4690.90087891,1.09803927
4690.90087891,0.19607843
4690.91259766,0.03921569
4690.91259766,1.01960790
4690.91259766,2.62745094
4690.91259766,3.37254906
4690.92089844,2.43137264
4690.92089844,0.56862748
4690.92089844,0.07843138
4690.93310547,0.15686275
4690.93310547,1.49019611
4690.93310547,3.00000000
4690.93310547,3.35294127
4690.94580078,1.76470590
4690.94580078,0.33333334
4690.94580078,0.01960784
4690.94580078,0.50980395
4690.95361328,2.00000000
4690.95361328,3.25490189
4690.96630859,1.09803927
4690.96630859,0.17647059
4690.96630859,0.01960784
4690.96630859,1.03921568
4690.97851563,2.62745094
4690.97851563,3.37254906
4690.97851563,2.45098042
4690.97851563,0.62745100
4690.99072266,0.07843138
4690.99072266,0.15686275
4690.99072266,1.52941179
4690.99072266,3.00000000
4690.99853516,3.37254906
4690.99853516,1.78431368
4690.99853516,0.33333334
4691.01123047,0.01960784
4691.01123047,0.43137255
4691.01123047,1.96078432
4691.01123047,3.23529410
4691.02343750,3.01960778
4691.02343750,1.07843137
4691.02343750,0.17647059
4691.02343750,0.01960784
4691.03613281,0.98039216
4691.03613281,2.60784316
4691.03613281,3.35294127
4691.03613281,2.45098042
4691.04394531,0.64705884
4691.04394531,0.07843138
4691.04394531,0.21568628
4691.05615234,1.58823526
4691.05615234,3.00000000
4691.05615234,3.37254906
4691.05615234,1.82352936
4691.06835938,0.33333334
4691.06835938,0.03921569
4691.06835938,0.50980395
4691.06835938,1.98039210
4691.08105469,3.23529410
4691.08105469,3.03921580
4691.08105469,1.09803927
4691.08105469,0.17647059
4691.08886719,0.01960784
4691.08886719,0.92156863
4691.08886719,2.58823538
4691.10156250,3.37254906
4691.10156250,2.45098042
4691.10156250,0.58823532
4691.10156250,0.07843138
4691.11376953,0.13725491
4691.11376953,1.50980389
4691.11376953,2.98039222
4691.11376953,3.37254906
4691.12207031,1.82352936
4691.12207031,0.33333334
4691.13378906,0.54901963
4691.13378906,1.96078432
4691.13378906,3.23529410
4691.13378906,3.03921580
4691.14648438,1.11764705
4691.14648438,0.19607843
4691.14648438,0.01960784
4691.14648438,0.94117647
4691.15869141,2.58823538
4691.15869141,3.37254906
4691.15869141,2.45098042
4691.15869141,0.58823532
4691.16699219,0.07843138
4691.16699219,0.13725491
4691.16699219,1.47058821
4691.17919922,2.98039222
4691.17919922,3.37254906
4691.17919922,1.82352936
4691.17919922,0.35294119
4691.19091797,0.03921569
4691.19091797,0.50980395
4691.19091797,1.94117641
4691.19091797,3.21568632
4691.20361328,3.05882359
4691.20361328,1.13725495
4691.20361328,0.19607843
4691.20361328,0.01960784
4691.21191406,0.98039216
4691.21191406,2.56862736
4691.21191406,3.35294127
4691.22412109,2.47058821
