time,amplitude
3974.73876953,3.15686274
3974.73876953,1.41176474
3974.73876953,0.29411766
3974.73876953,0.07843138
3974.74682617,0.64705884
3974.74682617,2.19607854
3974.74682617,3.19607854
3974.75927734,2.64705873
3974.75927734,0.86274511
3974.75927734,0.19607843
3974.75927734,0.11764706
3974.77148438,1.21568632
3974.77148438,2.76470590
3974.77148438,3.31372547
3974.77148438,2.15686274
3974.78344727,0.47058824
3974.78344727,0.05882353
3974.78344727,0.33333334
3974.78344727,1.62745094
3974.79199219,3.05882359
3974.79199219,3.25490189
3974.79199219,1.45098042
3974.80419922,0.21568628
3974.80419922,0.00000000
3974.80419922,0.54901963
3974.80419922,2.17647052
3974.81640625,3.31372547
3974.81640625,2.76470590
3974.81640625,0.84313726
3974.81640625,0.09803922
3974.82470703,0.00000000
3974.82470703,1.11764705
3974.83715820,3.39215684
3974.83715820,2.19607854
3974.83715820,0.43137255
3974.83715820,0.01960784
3974.84936523,0.27450982
3974.84936523,1.60784316
3974.84936523,3.07843137
3974.84936523,3.33333325
3974.86157227,1.50980389
3974.86157227,0.21568628
3974.86157227,0.00000000
3974.86157227,0.64705884
3974.86987305,2.17647052
3974.86987305,3.35294127
3974.86987305,2.84313726
3974.88208008,0.88235295
3974.88208008,0.09803922
3974.88208008,0.00000000
3974.88208008,1.09803927
3974.89453125,2.82352948
3974.89453125,3.45098042
3974.89453125,2.25490189
3974.89453125,0.45098040
3974.90673828,0.00000000
3974.90673828,0.17647059
3974.90673828,1.56862748
3974.90673828,3.11764717
3974.91479492,3.37254906
3974.91479492,1.54901958
3974.91479492,0.21568628
3974.92724609,0.00000000
3974.92724609,0.56862748
3974.92724609,2.17647052
3974.92724609,3.37254906
3974.93945313,2.88235283
3974.93945313,0.92156863
3974.93945313,0.11764706
3974.93945313,0.00000000
3974.95190430,1.11764705
3974.95190430,2.82352948
3974.95190430,3.47058821
3974.95190430,2.29411769
3974.95996094,0.47058824
3974.95996094,0.01960784
3974.95996094,0.15686275
3974.97216797,1.54901958
3974.97216797,3.11764717
3974.97216797,3.39215684
3974.97216797,1.58823526
3974.98437500,0.23529412
3974.98437500,0.00000000
3974.98437500,0.56862748
3974.98437500,2.15686274
3974.99267578,3.39215684
3974.99267578,2.92156863
3975.00512695,0.11764706
3975.00512695,0.00000000
3975.00512695,1.15686274
3975.00512695,2.82352948
3975.01733398,3.49019599
3975.01733398,2.35294127
3975.01733398,0.49019608
3975.01733398,0.01960784
3975.02978516,0.19607843
3975.02978516,1.56862748
3975.02978516,3.11764717
3975.02978516,3.43137264
3975.03784180,1.62745094
3975.03784180,0.25490198
3975.03784180,0.00000000
3975.05004883,0.49019608
3975.05004883,2.13725495
3975.05004883,3.39215684
3975.05004883,2.96078420
3975.06225586,0.98039216
3975.06225586,0.13725491
3975.06225586,0.00000000
3975.06225586,1.07843137
3975.07446289,2.80392146
3975.07446289,3.49019599
3975.07446289,2.37254906
3975.07446289,0.50980395
3975.08300781,0.03921569
3975.08300781,0.23529412
3975.08300781,1.60784316
3975.09521484,3.11764717
3975.09521484,3.45098042
3975.09521484,1.66666663
3975.09521484,0.27450982
3975.10742188,0.00000000
3975.10742188,0.52941179
3975.10742188,2.11764717
3975.10742188,3.39215684
3975.11547852,2.98039222
3975.11547852,0.98039216
3975.12768555,0.00000000
3975.12768555,1.03921568
3975.12768555,2.78431368
3975.12768555,3.49019599
3975.14013672,2.39215684
3975.14013672,0.50980395
3975.14013672,0.03921569
3975.14013672,0.17647059
3975.15234375,1.58823526
3975.15234375,3.11764717
3975.15234375,3.47058821
3975.15234375,1.70588231
3975.16064453,0.27450982
3975.16064453,0.00000000
3975.16064453,0.58823532
3975.17285156,2.09803915
3975.17285156,3.39215684
3975.17285156,3.01960778
3975.17285156,1.03921568
3975.18554688,0.15686275
3975.18554688,0.00000000
3975.18554688,1.05882359
3975.18554688,2.76470590
3975.19750977,3.50980401
3975.19750977,2.43137264
3975.19750977,0.52941179
3975.19750977,0.03921569
3975.20581055,0.13725491
3975.20581055,1.50980389
3975.20581055,3.11764717
3975.21826172,3.47058821
3975.21826172,1.72549021
3975.21826172,0.29411766
3975.21826172,0.00000000
3975.23022461,0.50980395
3975.23022461,2.07843137
3975.23022461,3.39215684
3975.23022461,3.05882359
3975.24267578,1.05882359
3975.24267578,0.15686275
3975.24267578,0.00000000
3975.24267578,1.09803927
3975.25073242,2.74509811
3975.25073242,3.50980401
3975.25073242,2.47058821
3975.26293945,0.54901963
3975.26293945,0.05882353
3975.26293945,0.13725491
3975.26293945,1.50980389
3975.27539063,3.11764717
3975.27539063,3.49019599
3975.27539063,1.74509799
3975.27539063,0.29411766
3975.28344727,0.00000000
3975.28344727,0.43137255
3975.29589844,3.37254906
3975.29589844,3.07843137
3975.29589844,1.05882359
3975.29589844,0.15686275
