time,amplitude
3221.56201172,0.11764706
3221.56201172,1.25490201
3221.56201172,2.72549009
3221.57421875,3.21568632
3221.57421875,2.11764717
3221.57421875,0.52941179
3221.57421875,0.13725491
3221.58666992,0.35294119
3221.58666992,1.56862748
3221.58666992,2.90196085
3221.58666992,3.05882359
3221.59472656,1.41176474
3221.59472656,0.35294119
3221.60717773,0.64705884
3221.60717773,2.13725495
3221.60717773,3.07843137
3221.60717773,2.56862736
3221.61938477,0.92156863
3221.61938477,0.25490198
3221.61938477,0.13725491
3221.61938477,1.21568632
3221.63159180,2.68627453
3221.63159180,3.19607854
3221.63159180,2.09803915
3221.63159180,0.54901963
3221.63989258,0.15686275
3221.63989258,0.43137255
3221.63989258,1.62745094
3221.65234375,2.90196085
3221.65234375,3.07843137
3221.65234375,1.45098042
3221.65234375,0.33333334
3221.66455078,0.11764706
3221.66455078,0.70588237
3221.66455078,2.17647052
3221.66455078,3.15686274
3221.67700195,2.62745094
3221.67700195,0.88235295
3221.67700195,0.15686275
3221.67700195,0.03921569
3221.68505859,1.11764705
3221.68505859,2.70588231
3221.68505859,3.23529410
3221.69726563,2.09803915
3221.69726563,0.47058824
3221.69726563,0.05882353
3221.69726563,0.29411766
3221.70947266,1.56862748
3221.70947266,2.96078420
3221.70947266,3.15686274
3221.70947266,1.43137252
3221.71752930,0.25490198
3221.71752930,0.01960784
3221.72973633,2.17647052
3221.72973633,3.19607854
3221.72973633,2.66666675
3221.72973633,0.88235295
3221.74218750,0.15686275
3221.74218750,0.03921569
3221.74218750,1.11764705
3221.74218750,2.74509811
3221.75439453,3.27450991
3221.75439453,2.11764717
3221.75439453,0.47058824
3221.75439453,0.03921569
3221.76293945,0.19607843
3221.76293945,1.52941179
3221.76293945,2.98039222
3221.77490234,3.17647052
3221.77490234,1.43137252
3221.77490234,0.25490198
3221.77490234,0.00000000
3221.78735352,0.60784316
3221.78735352,2.15686274
3221.78735352,3.21568632
3221.78735352,2.68627453
3221.79956055,0.90196079
3221.79956055,0.13725491
3221.79956055,0.01960784
3221.79956055,1.13725495
3221.80761719,2.74509811
3221.80761719,3.29411769
3221.80761719,2.15686274
3221.82006836,0.47058824
3221.82006836,0.03921569
3221.82006836,0.19607843
3221.82006836,1.52941179
3221.83227539,3.00000000
3221.83227539,3.19607854
3221.83227539,1.45098042
3221.83227539,0.23529412
3221.84472656,0.00000000
3221.84472656,0.52941179
3221.84472656,2.15686274
3221.84472656,3.23529410
3221.85278320,2.70588231
3221.85278320,0.86274511
3221.85278320,0.11764706
3221.86499023,0.00000000
3221.86499023,1.07843137
3221.86499023,2.76470590
3221.86499023,3.33333325
3221.87744141,2.17647052
3221.87744141,0.47058824
3221.87744141,0.01960784
3221.87744141,0.21568628
3221.88549805,1.54901958
3221.88549805,3.01960778
3221.89794922,1.49019611
3221.89794922,0.23529412
3221.89794922,0.00000000
3221.89794922,0.54901963
3221.91015625,2.17647052
3221.91015625,3.25490189
3221.91015625,2.74509811
3221.91015625,0.90196079
3221.92236328,0.13725491
3221.92236328,0.00000000
3221.92236328,1.09803927
3221.92236328,2.76470590
3221.93066406,3.35294127
3221.93066406,2.21568632
3221.93066406,0.49019608
3221.94287109,0.03921569
3221.94287109,0.21568628
3221.94287109,1.54901958
3221.94287109,3.01960778
3221.95507813,3.27450991
3221.95507813,1.52941179
3221.95507813,0.25490198
3221.95507813,0.00000000
3221.96752930,0.60784316
3221.96752930,2.17647052
3221.96752930,3.27450991
3221.96752930,2.78431368
3221.97583008,0.94117647
3221.97583008,0.15686275
3221.97583008,0.01960784
3221.98779297,1.09803927
3221.98779297,2.78431368
3221.98779297,3.35294127
3221.98779297,2.21568632
3222.00048828,0.50980395
3222.00048828,0.03921569
3222.00048828,0.19607843
3222.00048828,1.54901958
3222.01245117,3.01960778
3222.01245117,3.27450991
3222.01245117,1.52941179
3222.01245117,0.27450982
3222.02075195,0.00000000
3222.02075195,0.58823532
3222.02075195,2.17647052
3222.03320313,3.27450991
3222.03320313,2.80392146
3222.03320313,0.96078432
3222.03320313,0.15686275
3222.04516602,0.01960784
3222.04516602,1.13725495
3222.04516602,2.76470590
3222.04516602,3.35294127
3222.05346680,2.25490189
3222.05346680,0.52941179
3222.06567383,0.21568628
3222.06567383,1.54901958
3222.06567383,3.01960778
3222.06567383,3.27450991
3222.07788086,1.54901958
3222.07788086,0.29411766
3222.07788086,0.01960784
3222.07788086,0.52941179
3222.09033203,2.15686274
3222.09033203,3.27450991
3222.09033203,2.78431368
3222.09033203,0.96078432
3222.09838867,0.17647059
3222.09838867,0.03921569
3222.09838867,1.09803927
3222.11083984,2.76470590
3222.11083984,3.33333325
3222.11083984,2.25490189
3222.11083984,0.52941179
3222.12304688,0.07843138
3222.12304688,0.25490198
