time,amplitude
4329.63476563,3.21568632
4329.63476563,1.37254906
4329.63476563,0.29411766
4329.64697266,0.03921569
4329.64697266,0.68627453
4329.64697266,2.31372547
4329.64697266,3.29411769
4329.65917969,2.64705873
4329.65917969,0.78431374
4329.65917969,0.17647059
4329.65917969,0.07843138
4329.66748047,1.25490201
4329.66748047,2.82352948
4329.67968750,2.09803915
4329.67968750,0.49019608
4329.67968750,0.07843138
4329.67968750,0.39215687
4329.69238281,1.66666663
4329.69238281,3.09803915
4329.69238281,3.23529410
4329.69238281,1.39215684
4329.70410156,0.27450982
4329.70410156,0.03921569
4329.70410156,0.72549021
4329.70410156,2.27450991
4329.71289063,3.23529410
4329.71289063,2.62745094
4329.71289063,0.84313726
4329.72460938,0.21568628
4329.72460938,0.11764706
4329.72460938,1.23529410
4329.72460938,2.78431368
4329.73681641,3.29411769
4329.73681641,2.05882359
4329.73681641,0.50980395
4329.73681641,0.11764706
4329.74902344,0.35294119
4329.74902344,1.62745094
4329.74902344,3.01960778
4329.74902344,3.15686274
4329.75732422,1.35294116
4329.75732422,0.23529412
4329.75732422,0.00000000
4329.77001953,0.66666669
4329.77001953,2.27450991
4329.77001953,3.27450991
4329.77001953,2.66666675
4329.78222656,0.80392158
4329.78222656,0.11764706
4329.78222656,0.00000000
4329.78222656,1.21568632
4329.79443359,2.84313726
4329.79443359,3.41176462
4329.79443359,2.11764717
4329.79443359,0.45098040
4329.80273438,0.01960784
4329.80273438,0.25490198
4329.80273438,1.62745094
4329.81494141,3.11764717
4329.81494141,3.29411769
4329.81494141,1.39215684
4329.81494141,0.21568628
4329.82714844,0.00000000
4329.82714844,0.64705884
4329.82714844,2.31372547
4329.82714844,3.35294127
4329.83544922,2.72549009
4329.83544922,0.82352942
4329.84765625,0.00000000
4329.84765625,1.21568632
4329.84765625,2.88235283
4329.84765625,3.45098042
4329.85986328,2.15686274
4329.85986328,0.45098040
4329.85986328,0.00000000
4329.85986328,0.21568628
4329.87207031,1.64705884
4329.87207031,3.15686274
4329.87207031,3.33333325
4329.87207031,1.41176474
4329.88037109,0.21568628
4329.88037109,0.00000000
4329.88037109,0.60784316
4329.89257813,2.33333325
4329.89257813,3.41176462
4329.89257813,2.78431368
4329.89257813,0.84313726
4329.90527344,0.09803922
4329.90527344,0.00000000
4329.90527344,1.21568632
4329.90527344,2.92156863
4329.91699219,3.50980401
4329.91699219,2.21568632
4329.91699219,0.45098040
4329.91699219,0.00000000
4329.92529297,0.15686275
4329.92529297,1.64705884
4329.92529297,3.19607854
4329.93798828,3.39215684
4329.93798828,1.43137252
4329.93798828,0.21568628
4329.93798828,0.00000000
4329.95019531,0.58823532
4329.95019531,2.35294127
4329.95019531,3.45098042
4329.95019531,2.84313726
4329.96240234,0.86274511
4329.96240234,0.09803922
4329.96240234,0.00000000
4329.96240234,1.21568632
4329.97070313,2.96078420
4329.97070313,3.56862736
4329.97070313,2.27450991
4329.98242188,0.49019608
4329.98242188,0.00000000
4329.98242188,0.29411766
4329.98242188,1.70588231
4329.99511719,3.23529410
4329.99511719,3.45098042
4329.99511719,1.52941179
4329.99511719,0.25490198
4330.00341797,0.00000000
4330.00341797,0.68627453
4330.01562500,3.49019599
4330.01562500,2.90196085
4330.01562500,0.92156863
4330.01562500,0.13725491
4330.02783203,0.00000000
4330.02783203,1.21568632
4330.02783203,2.98039222
4330.02783203,3.58823538
