time,amplitude
12.99321651,2.35294127
12.99321651,2.39215684
12.99321651,3.29411769
12.99321651,2.27450991
13.00564384,1.33333337
13.00564384,2.05882359
13.00564384,2.45098042
13.00564384,2.62745094
13.01380348,2.94117641
13.01380348,3.45098042
13.02608299,1.72549021
13.02608299,2.37254906
13.02608299,2.86274505
13.02608299,3.03921580
13.03840351,3.35294127
13.03840351,2.98039222
13.03840351,1.33333337
13.03840351,1.78431368
13.05060101,2.11764717
13.05060101,2.76470590
13.05060101,2.78431368
13.05060101,3.49019599
13.05887508,2.49019599
13.05887508,1.45098042
13.05887508,2.09803915
13.07111454,2.41176462
13.07111454,2.84313726
13.07111454,2.88235283
13.07111454,3.45098042
13.08350849,1.90196073
13.08350849,1.54901958
13.08350849,2.11764717
13.08350849,2.56862736
13.09574795,2.66666675
13.09574795,3.33333325
13.09574795,3.01960778
13.09574795,1.47058821
13.10407925,2.05882359
13.10407925,2.47058821
13.10407925,2.96078420
13.11623573,3.00000000
13.11623573,3.76470590
13.11623573,2.58823538
13.11623573,1.54901958
13.12863827,2.27450991
13.12863827,2.54901958
13.12863827,2.90196085
13.12863827,2.94117641
13.14088535,3.47058821
13.14088535,1.90196073
13.14088535,1.54901958
13.14088535,2.09803915
13.14907742,2.56862736
13.14907742,2.70588231
13.14907742,3.23529410
13.16139793,2.92156863
13.16139793,1.39215684
13.16139793,1.92156863
13.16139793,2.33333325
13.17362881,2.82352948
13.17362881,3.00000000
13.17362881,4.00000000
13.17362881,2.70588231
13.18584347,1.78431368
13.18584347,2.43137264
13.18584347,2.60784316
13.18584347,2.74509811
13.19405174,2.72549009
13.19405174,3.09803915
13.19405174,1.49019611
13.20636463,1.31372547
13.20636463,1.92156863
13.20636463,2.45098042
13.20636463,2.70588231
13.21867657,3.27450991
13.21867657,2.94117641
13.21867657,1.47058821
13.21867657,1.94117641
13.23096466,2.31372547
13.23096466,2.70588231
13.23096466,2.70588231
13.23096466,3.60784316
13.23904228,2.43137264
13.23904228,1.47058821
13.23904228,2.39215684
13.25140381,2.78431368
13.25140381,3.03921580
13.25140381,3.25490189
13.25140381,3.66666675
13.26377392,1.90196073
13.26377392,1.72549021
13.26377392,2.27450991
13.26377392,2.74509811
13.27598000,2.86274505
13.27598000,3.37254906
13.27598000,2.98039222
13.27598000,1.45098042
13.28407383,1.98039210
13.28407383,2.23529410
13.28407383,2.80392146
13.29641914,2.76470590
13.29641914,3.50980401
13.29641914,2.39215684
13.29641914,1.39215684
13.30876446,2.07843137
13.30876446,2.45098042
13.30876446,2.66666675
13.30876446,2.90196085
13.32085514,3.21568632
13.32085514,1.45098042
13.32085514,1.39215684
13.32085514,1.92156863
13.32909679,2.33333325
13.32909679,2.39215684
13.32909679,3.19607854
13.34142590,2.54901958
13.34142590,1.05882359
13.34142590,1.76470590
13.34142590,2.15686274
13.35381222,2.60784316
13.35381222,2.64705873
13.35381222,3.52941179
13.35381222,2.27450991
13.36201191,1.33333337
13.36201191,2.15686274
13.37432480,2.90196085
13.37432480,3.01960778
13.37432480,3.43137264
13.37432480,1.78431368
13.38661289,1.68627453
13.38661289,2.27450991
13.38661289,2.74509811
13.38661289,2.92156863
13.39878559,3.72549009
13.39878559,3.09803915
13.39878559,1.56862748
13.39878559,2.25490189
13.40697002,2.58823538
13.40697002,2.74509811
13.41930676,3.66666675
13.41930676,2.17647052
13.41930676,1.31372547
13.41930676,2.15686274
13.43148041,2.66666675
13.43148041,2.92156863
13.43148041,3.13725495
13.43148041,3.49019599
13.44399738,1.78431368
13.44399738,1.76470590
13.44399738,2.27450991
13.44399738,2.78431368
13.45221424,2.92156863
13.45221424,3.50980401
13.46451855,1.33333337
13.46451855,2.00000000
13.46451855,2.23529410
13.46451855,2.56862736
13.47675705,2.60784316
13.47675705,3.58823538
13.47675705,2.17647052
13.47675705,1.37254906
13.48899651,2.23529410
13.48899651,2.74509811
13.48899651,2.94117641
13.48899651,3.19607854
13.49715519,3.47058821
13.49715519,1.64705884
13.49715519,1.68627453
13.50941944,2.23529410
13.50941944,2.70588231
13.50941944,2.82352948
