time,amplitude
79.95989227,2.11764717
79.95989227,1.52941179
79.95989227,1.80392158
79.95989227,2.21568632
79.96808624,2.56862736
79.96808624,2.78431368
79.96808624,3.13725495
79.98038483,1.60784316
79.98038483,1.74509799
79.98038483,2.11764717
79.98038483,2.92156863
79.99279785,2.94117641
79.99279785,3.56862736
79.99279785,2.86274505
79.99279785,1.54901958
80.00502777,2.17647052
80.00502777,2.29411769
80.00502777,2.98039222
80.00502777,2.98039222
80.01322174,3.68627453
80.01322174,2.29411769
80.01322174,1.74509799
80.02555084,2.15686274
80.02555084,2.52941179
80.02555084,2.88235283
80.02555084,3.09803915
80.03775787,3.33333325
80.03775787,1.80392158
80.03775787,1.94117641
80.03775787,2.09803915
80.04997253,2.82352948
80.04997253,2.72549009
80.04997253,3.43137264
80.04997253,2.49019599
80.05821991,1.23529410
80.05821991,1.90196073
80.05821991,2.01960778
80.07044983,2.56862736
80.07044983,2.70588231
80.07044983,3.47058821
80.07044983,2.01960778
80.08278656,1.56862748
80.08278656,2.11764717
80.08278656,2.62745094
80.08278656,2.90196085
80.09511566,3.17647052
80.09511566,3.25490189
80.09511566,1.62745094
80.09511566,1.84313726
80.10326385,2.11764717
80.10326385,2.86274505
80.10326385,2.88235283
80.11548615,3.74509811
80.11548615,2.88235283
80.11548615,1.72549021
80.11548615,2.35294127
80.12779999,2.45098042
80.12779999,2.84313726
80.12779999,2.78431368
80.12779999,3.52941179
80.14010620,1.88235295
80.14010620,1.43137252
80.14010620,2.01960778
80.14010620,2.58823538
80.14826202,2.90196085
80.14826202,3.29411769
80.14826202,3.33333325
80.16063690,1.64705884
80.16063690,1.82352936
80.16063690,2.03921580
80.16063690,2.64705873
80.17292786,2.54901958
80.17292786,3.33333325
80.17292786,2.45098042
80.17292786,1.23529410
80.18519592,1.88235295
80.18519592,2.11764717
80.18519592,2.60784316
80.18519592,2.70588231
80.19369507,3.54901958
80.19369507,2.00000000
80.19369507,1.64705884
80.20558929,2.19607854
80.20558929,2.76470590
80.20558929,3.03921580
80.20558929,3.45098042
80.21793365,3.45098042
80.21793365,1.86274505
80.21793365,2.09803915
80.21793365,2.29411769
80.23021698,3.01960778
80.23021698,2.98039222
80.23021698,3.56862736
80.23021698,2.64705873
80.23840332,1.45098042
80.23840332,2.03921580
80.23840332,2.19607854
80.25072479,2.90196085
80.25072479,2.78431368
80.25072479,3.47058821
80.25072479,1.98039210
80.26318359,1.47058821
80.26318359,1.86274505
80.26318359,2.43137264
80.26318359,2.64705873
80.27536011,3.11764717
80.27536011,3.13725495
80.27536011,1.58823526
80.27536011,1.86274505
80.28350830,2.09803915
80.28350830,2.70588231
80.28350830,2.64705873
80.29582977,3.47058821
80.29582977,2.37254906
80.29582977,1.27450979
80.29582977,1.96078432
80.30802917,2.13725495
80.30802917,2.76470590
80.30802917,2.66666675
80.30802917,3.39215684
80.31622314,1.82352936
80.31622314,1.50980389
80.32876587,2.62745094
80.32876587,3.00000000
80.32876587,3.27450991
80.32876587,3.33333325
80.34102631,1.66666663
80.34102631,1.94117641
80.34102631,2.05882359
80.34102631,2.62745094
80.35326385,2.72549009
80.35326385,3.47058821
80.35326385,2.39215684
80.35326385,1.41176474
80.36145782,2.05882359
80.36145782,2.33333325
80.37370300,2.96078420
80.37370300,3.62745094
80.37370300,2.13725495
80.37370300,1.82352936
80.38603973,2.29411769
80.38603973,2.82352948
80.38603973,3.00000000
80.38603973,3.33333325
80.39826965,3.17647052
80.39826965,1.49019611
80.39826965,1.74509799
80.39826965,1.84313726
80.40655518,2.56862736
80.40655518,2.58823538
80.41885376,2.37254906
80.41885376,1.39215684
80.41885376,2.09803915
80.41885376,2.35294127
80.43107605,2.92156863
80.43107605,3.01960778
80.43107605,3.76470590
80.43107605,2.13725495
80.44328308,1.84313726
80.44328308,2.27450991
80.44328308,2.86274505
80.44328308,2.94117641
80.45145416,3.47058821
80.45145416,3.27450991
80.46390533,2.11764717
80.46390533,2.29411769
80.46390533,2.94117641
80.46390533,2.90196085
80.47610474,3.52941179
80.47610474,2.35294127
80.47610474,1.39215684
80.47610474,2.05882359
80.48831940,2.21568632
80.48831940,2.82352948
80.48831940,2.76470590
80.48831940,3.45098042
80.49666595,1.84313726
80.49666595,1.50980389
80.49666595,1.86274505
80.50886536,2.60784316
80.50886536,2.74509811
80.50886536,3.29411769
80.50886536,3.03921580
80.52111053,1.50980389
80.52111053,1.98039210
80.52111053,2.15686274
80.52111053,2.82352948
80.53341675,2.88235283
80.53341675,3.66666675
80.53341675,2.47058821
80.53341675,1.58823526
80.54155731,2.17647052
80.54155731,2.41176462
80.54155731,2.90196085
80.55390167,2.98039222
80.55390167,3.60784316
80.55390167,2.00000000
80.55390167,1.78431368
80.56611633,2.11764717
80.56611633,2.72549009
80.56611633,2.74509811
80.56611633,3.19607854
80.57868195,2.84313726
80.57868195,1.19607842
80.57868195,1.72549021
80.57868195,1.92156863
80.58661652,2.56862736
80.58661652,2.62745094
80.58661652,3.49019599
80.59889221,2.27450991
80.59889221,1.45098042
80.59889221,2.09803915
80.59889221,2.35294127
80.61128998,2.86274505
80.61128998,2.92156863
80.61128998,3.45098042
80.61128998,1.84313726
80.62355804,1.60784316
80.62355804,1.98039210
80.62355804,2.66666675
80.62355804,2.78431368
80.63175964,3.29411769
80.63175964,2.98039222
80.63175964,1.45098042
80.64408112,2.00000000
80.64408112,2.13725495
